pdf_path,page_no,success,processing_time,error,timestamp
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",3,True,0.66,,2025-10-08T17:33:11.735318
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",4,True,0.66,,2025-10-08T17:33:12.399380
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",5,True,0.74,,2025-10-08T17:33:13.142073
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",6,True,0.67,,2025-10-08T17:33:13.812488
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",7,True,0.75,,2025-10-08T17:33:14.559742
"data\drive\Secondary Sources\(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",8,True,0.48,,2025-10-08T17:33:15.043029
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,1,True,0.38,,2025-10-08T17:33:15.423227
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,2,True,0.43,,2025-10-08T17:33:15.849736
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,3,True,0.46,,2025-10-08T17:33:16.312961
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,4,True,0.35,,2025-10-08T17:33:16.665390
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,5,True,0.43,,2025-10-08T17:33:17.093770
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,6,True,0.45,,2025-10-08T17:33:17.540866
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,7,True,0.42,,2025-10-08T17:33:17.957231
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,8,True,0.45,,2025-10-08T17:33:18.405440
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,9,True,0.42,,2025-10-08T17:33:18.829095
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,10,True,0.45,,2025-10-08T17:33:19.275645
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,11,True,0.35,,2025-10-08T17:33:19.626250
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,12,True,0.43,,2025-10-08T17:33:20.062233
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,13,True,0.34,,2025-10-08T17:33:20.399993
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,14,True,0.42,,2025-10-08T17:33:20.824157
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,15,True,0.34,,2025-10-08T17:33:21.164810
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,16,True,0.34,,2025-10-08T17:33:21.505098
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,17,True,7.19,,2025-10-08T17:33:28.695589
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,18,True,6.86,,2025-10-08T17:33:35.552111
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,1,True,0.37,,2025-10-08T17:33:35.925327
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,2,True,0.41,,2025-10-08T17:33:36.334831
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,3,True,0.43,,2025-10-08T17:33:36.762451
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,4,True,0.35,,2025-10-08T17:33:37.113521
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,5,True,0.43,,2025-10-08T17:33:37.540699
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,6,True,0.43,,2025-10-08T17:33:37.971665
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,7,True,0.46,,2025-10-08T17:33:38.434239
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,8,True,0.43,,2025-10-08T17:33:38.864158
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,9,True,0.43,,2025-10-08T17:33:39.297454
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,10,True,0.44,,2025-10-08T17:33:39.740334
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,11,True,0.36,,2025-10-08T17:33:40.101236
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,12,True,0.41,,2025-10-08T17:33:40.510152
