pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-09T17:45:43.681300
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,3,True,16.10,,2025-10-09T17:45:59.867170
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,4,True,15.23,,2025-10-09T17:46:15.096224
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,5,True,17.34,,2025-10-09T17:46:32.441268
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,6,True,14.14,,2025-10-09T17:46:46.582669
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 4, 2006.pdf",21,True,0.05,,2025-10-09T17:46:46.635089
