,text,orientation,language,mean_confidence,used_original_text,time,scale
0,"Reprinted for private circulation from Srupres Presentep to A. LEO OPPENHEIM Copyright 1964 by the University of Chicago PRINTED IN U.S.A THE WILLIAM W. HALLO Yale University On the of 1737 B.c., one a nigakku of Pnlil at to marry a certain to an agree- ment which to both the to divorce the other.‘ For so received shekels of to which five shekels were adde to a second contract dated some four years later.’ Ten years in 1727, the same contracting in court, the follow- is of the occasion 1 The bronze weapon of the Ninurta 2 took its stand in the and 3 his alderwomen took their stand and 1-6 they did not convict Ama-sukkal of Enlil-issu 7-8 they did, however, convict Enlil-issu of and her, 9 Enlil-is 10   ke as follows, saying 11 ‘You may convict me (even) more than now, 12 (still) I will not marry her. 13 Let them me and 14 (then) I will pay money ( instead),’”* follows a list of male of them identical with some of those on document.° ‘The substance of this paper was presented to the joint meeting of the Middle West Branch of the American Oriental Society and the Society of Biblical Literature at Madison, W isconsin, on 21, 1961. It is a pleasure to offer it here as a tribute to Prof, A, Leo ( whose seminar UET' 5, a decade ago, first inspired it * Written “#n-lil-id-zu here (cf. als For the same name written 42,      his seal impression) and *#n-ltl-is-su in the lawsuit (below) or ""En-lil-i-vi cf., e.g., YOS 8 98:77, 125:36; CT 8 42a:2 *For the name, cf. e.g. BIN 7 (1943) Nos. 139-146. “Arno Poebel, BE ‘5 Gin-'Kt-BABBAR! e-2u-ub 19 G[fN-Kd-BABBAR| i-nar-y-[...]           6/2 (1909) No. 40, translated ibid., p. 35 *Poebel, op. cit., No. 47, translated ibid., pp. 49 The tablet is partly destroyed, but besides the names of the those of some of the witnesses from each of the other two documents here under discussion can be restored on it; see below, Excursus 1 * Ibid., No. 58. * For the transcription, see most recently Georges Dossin, RA 42 (1948) 120, but below, notes 24 and 28, and read eli inanna tubarrdninnima in line 11 * See below, Excursus 1 5",0,eng,89.26891627248678,False,1648426803.526793,2.7125
1,"96 WILLIAM W. HALLO This little dossier has received considerable attention since it was first published by Poebel in 1909. All three documents were translated by Kohler and Ungnad in the next two years,’’ and the marriage contract again by Schorr in 1913.""! The court battle interested Walther in his study of the Old Babylonian judiciary of 1917,"" and Koschaker referred to it frequently in his Rechtsvergleichende Studien of the same year.'* Meissner cited the marriage contract in 1920—rather unjustly, it must be said—as further evidence of the legal inferiority of women.'* More recently, one or more of the three texts have been treated by van Praag in 1945"" and by Dossin in two separate articles in 1948.° One of them has even found its way into the small group of “Mesopotamian legal texts” included in Pritchard’s Ancient Near Eastern Texts by Theophile Meek in 1950."""" Finally, in 1953, the court case was inadvertently republished by Figulla in the volume of Old Babylonian texts from Ur, having by a confusion of museum and excavation numbers found its way into this corpus.'* The text thus republished invites renewed attention, for its full significance has still, in my opinion, not been understood, and it presents, moreover, parallels not only to Babylonian but also to Biblical case law. It is also interesting from a linguistic point of view. Like other trial documents of the Old Babylonian *° Josef Kohler and Arthur Ungnad, Hammurabi’s Gesetz 4 (1910) Nos. 777 and 993; 5 (1911) No. 1200. ™ Moses Schorr, Urkunden des altbabylonischen Zivil- und Prozessrechts (= Vorderasiatische Bibliothek 5, 1913) No. 1. * Arnold Walther, Das altbabylonische Gerichtswesen (= Leipziger Semitistische Studien 6/4-6 [1917], pp. 205 f.) Walther’s translation comes close to the one offered here, but he was less concerned with the lawsuit’s significance for marriage law than with its procedural aspects, particularly the use of the divine emblem in connection with sworn testimony. Here as in other cases (ibid., pp. 191 ff.; VET 5 248: 1, 248:27, 254:5 ete.), the emblem was a weapon of the deity. Like the Bible on which the courts may administer oaths to this day, it constituted the entire extent of religious participation in the judicial process. Cf. also B. Landsberger, ZDMG 69 (1915) 498. 8 Paul Koschaker, Rechtsvergleichende Studien eur Gesetzgebung Hammurapis (1917). On p. 39, note 27, he referred to it as a ‘trial document, unfortunately not clear in its details.” Cf. also below, note 40, “Bruno Meissner, Babylonien und Assyrien 1 (1920), p. 406, note 10. See below, Excursus 2. 16 A. van Praag, Droit Matrimoniel Assyro-Babylonien (1945), p. 29 et passim. *“Un Procés en Répudiation sous le Régne de Samsu-iluna,”” Archives d'Histoire du Droit Oriental 3 (1948) 145-159; “L’article 142/143 du Code de Hammurabi,” RA 42 (1948) 113-124, 17 P, 219 sub F(2). H. H. Figulla and W. J. Martin, Ur Excavation Texts 5 (1953) No. 256; ef. the review by F.R. Kraus, OLZ 50 (1955) c. 517. There is no doubt that BE 6/2:58 and UET 5 256 are copies of one and the same original: not only the wording and spelling, but the line division and the very cracks are identical. In BE 6/2, the text is identified as CBS 11561, in UBT’ 5 as U(r Excavation Number) 11561; presumably an Ur tablet rightfully bearing tho latter number awaits publication in Bagh- dad. The inherent improbability of a text from Southern Babylonia bearing a Samsu-iluna date as late as his 23rd year was noted by W. F. Leemans in his review UET' 5 in Bi 12 (1955) 115.     THE SLANDERED BRIDE 97 period, it avoids the formulaic wording of the contemporary contracts which Sumerian largely or even exclusively. Its direct and indirect quotations exemplify a vivid and perhaps even colloquial Akkadian. Finally, it permits the role of the witnesses—usually somewhat neglected—to be viewed with a certain The interpretation of our text would seem to hinge on the exact significance at- tributed to two technical expressions in it, in the first place the female elders, or alderwomen (sibd/um).* It is on their findings that the quarter (babtum), which is to say the local court of first resort,” relies to determine the guilt or innocence of the contending parties. A good deal is now known about the role of male elders, or aldermen (ébtum) in the Old Babylonian judicial process. There, as recently shown by Klengel,® they assisted the town, its governor, its mayor, or its assembly, in the determination of lawsuits. But the intervention of alderwomen is extremely rare, and we may well ask what motivated it in this case. The answer to this question must be sought in the specifies of the charges of which the two principals were respectively cleared and indicted by the alderwomen. The bride is cleared of the charge of “speaking insolence against” her husband tam* ana Enlil-issu qabdm*). 'This translation, first approximated by Dossin,** cer- tainly cannot be far from the literal meaning of the Akkadian. Dossin, goes on to argue that Enlil-issu chose these alderwomen as witnesses because he expected them to be favorable to him.* This seems less likely. A husband would hardly go to court, counting on the women of the quarter to accuse his wife of in- solent gossip. There must have been a more specific reason for invoking their testi- mony, and a more reasonable chance for the husband to benefit by it. See below, Excursus 1, *° Since the witnesses in the present bear masculine names, the term can hardly be trans- lated by “female witnesses” here. * Cf. now Codex Eshnunna, §§ 54, 56, 58, where the babfum has the function of notifying or warning the owner of a goring ox, a mad dog, or a sagging wall, and Albrecht Goetze’s comments ad loc. in A ASOR 31 (1956) 134 f. with the references ibid., p. 135, note 4. Horst Klengel, “Zu den Sibiatum in altbabylonischer Zeit,” Or NS 29 (1960) 357-375. ™ Magirtam may be simply a phonetic variant of magritam, i.e., derived from gerd, to be hostile, start a lawsuit (CAD G 61 .); cf. Dossin, AHDO 3 151. It can hardly be still another nominal formation from magaru, to agree (below, note 40). Von Soden derives it from gidru, to challenge(?) (AHw 287b) and translates it by “Frechheit’” (ibid., 109a) or “Widerwort (GAG § 56c). Ci. also magirtam ightam/agbtium in OBGT III 173 £. (Landsberger, MSL 4 72) which should probably be translated “he spoke insolently to me/I spoke insolently to him’ on the basis of Emesal Vocabulary TI 11 (iid., p. 27) as pointed out by Dossin, loc. cit. * Read thus with UET 5 256 against Dossin’s ig/-ba-am (above, note 8). For the construction (burrum + infinitive in the accusative) ef. Jussi Aro, Die akkadischen Infinitivkonstruktionen (= Studia Orientalia 26, 1961), §§ 3.58, 3.118. “RA 42 120; AHDO 3 149, Ibid., p. 150, ad line 3,",0,eng,91.21110595829714,False,1648426811.7001421,2.0865384615384617
2,"98 WILLIAM W. HALLO connecting it with Hebrew nis, “spurn, scorn,” translated it by ‘Violent insults.”""* The word translated by “abusing” is buzcubu (bueewu) which, like the proposed equivalent, seems to imply either physical or verbal mal. ing here with charge and counter-charge. One issue would appear to fit the deserip- tion best, namely, that the bride had accused the man of wrongly calling her honor in question or, to be more explicit, of casting doubt on her virginity. A panel of women could best establish the truth or falschood of the man’s claim, and therewith whether a case of false accusation (on the part of the woman) or rather slander (on the part of the man) was involved. The second technical phrase which we encounter is contained in Enlil-issu’s state- ment after his conviction: ul abpazei, “I will not marry her.” This translation will hardly do here, however, as Dossin®® and Falkenstein® have seen, for, as we know, the marriage had already been contracted some ten years previously. But that not entitle us to translate, with Dossin, “I no longer wish to have her as a wife,” or “'T no longer wish to embrace her.” The plain meaning of the expression is rather “T will not take possession of her,” i.e., “I will not consummate my marriage with her,” as demonstrated for the contemporary legal codes and documents.**   ronominal suffix of this verb refers to the person accused of, not to the “his quarter shall conviet him (not: “ ‘declares’ or ‘proves Honian Laws 1, p. 241) before God of the fact that none of to convict (a person) of (a thing)” attempts to do justice 1 Figulla’s copy does not favor this restoration, but it is hard to seo what else would fit, unless bear comparison with Assyrian manzwu, Babylonian * Cf. Landsberger, ZDMG 69 (1915) 523; OLZ 26 (1923) ¢. 73; von Sod s ; 73; len, AHw 145; Goetze, synonymous and virtually homonymous mussubu, “disregard, ,” probably belongs to the stem masdku; of. Julius Lewy, Or NS 26 (1 5 iat: ‘Y, (1957) 29, note 1. * NG 1 (1956), p. 101, note 5. ""Tn this case we would rather expect the normal formula for initiation of a divoree: “you are not my wife (any longer)” (ul alfatt atti) or, to quote the marriage contract itself, dae me nu-me-en, ‘ * This is the technical meaning of abdzu in CH and related do # i 7 r and John C. Miles, The Babylonian Lawe 1 (1952), pp. 246, 322-4.” ""PY GR. Driver THE SLANDERED BRIDE 99 we are dealing with a long interval between the time of the contracting of the mar- riage and its consummation, an interval in which the bride remained in her father’s house as § 130 of the Code of Hammurapi provides. She was considered married in the meantime, and it was her father’s duty to protect the bridegroom’s rights to her. In this case, moreover, the groom received all the promised dowry at once, thus binding himself in advance for the sake of immediate financial advantage. We are now ready to reconstruct the actual course of the lawsuit. When the time came to consummate the marriage, Enlil-issu—it is submitted—tried to evade his obligation by impugning his bride’s chastity during the preceding years. Had he succeeded in his attempt, he would have been able to break the contract without financial loss: he would have retained the twenty-four or more shekels of silver which he had already received, and avoided the divorce payment of thirty shekels which the marriage contract provided for. Custom, however, protected the bride against just such an attempt, insisting that the marriage be consummated if the groom’s charge proved false. This, though it is not explicitly stated, was the conse- quence of the alderwomen’s findings. In his statement, therefore, Enlil-issu sought to persuade the quarter that his unwillingness to “have” Ama-sukkal was genuine, and that he could not be forced to overcome it, but that he would be willing to suffer the financial and other** penalties of his ill-starred attempt instead. It may be no more than a coincidence that the case, as reconstructed here, is not precisely covered in the detailed matrimonial provisions of the Code of Hammurapi (CH), for this code treats of almost every other contingency that might arise to prevent the consummation of a marriage after it had been contracted.** Thus in § 159 we have the case of the groom’s reneging, the bride’s father reneging in § 160, and even the slandering of the groom in § 161."" In § 127 we have the slander of a woman by a third party.’” But by far the closest parallel to our case is provided by Akkadian li-ih-lu-lu-ni-in-ni, which Walther, op. cit., p. 206 rendered “man binde mich . . . durch Urkunde verpflichten”’; von Soden, Ar Or 17/2 (= Symbolae Hrozny 2, 1949) 362: “man mag mich einsperren”; CAD H 34b: “let them detain me.” In spite of the spelling with -ib- (von Soden, note 6), it seems uncertain whether we are dealing with falalu, “detain,” o aldlu, “bind, hang (a person),” which also occurs as halalu; ef. Landsberger apud von Soden, ZA 43 (1936) 262, note id., AHw 34c. Note also Lewy’s rendering of the passage cited CAD H 230b (sub hrullulu): “Tam locked in like slaves!” (AOS meeting, 1963), ** In fact, however, it is not a coincidence but in the very nature of CH, which may be described a8 a “codification of extremes,” for it repeatedly multiplies the criteria of both culpability and innocence as if with the intention of leaving a large discretionary area in the middle, where neither all the criteria of guilt nor all those of innocence may be satisfied, leaving it, perhaps, to the dis- cretion of whatever legal process the “code” addressed itself to. * All these cases, it is true, involve the so-called Kaufehe, in which the groom pays for the privi- lege of marrying the bride; ef. below, note 64. For the death of one of the two parties before consummation of the marriage, ef. Codex Eshnunna §§ 17(+ 18) in the interpretation of Reuven Yaron, JSS 8 (1963) 1-7, who compares also CH §§ 163 + 164.          ",0,eng,89.1900751409396,False,1648426819.653229,1.75
3,"


 

 

 

 

 

 

EE

100 WILLIAM W. HALLO

§§ 142-143, as these were elucidated in 1924 by Koschaker.** Starting from the
bride's desire not to consummate the marriage (she says, in fact, ul abbasanni)
these paragraphs in Koschaker's reading provide precisely for the possibility the;
the newlyweds prove what we might eall incompatible. In such a case, as in ours
it was in the quarter that the ease was to be examined. What was involved wns, tg
uote Koschaker, “in all probability a physical examination of the virginity of the
woman.” If her chastity was confirmed, she might take back her dowry and reture
to her father’s house, if not, she suffered the penalty of an adulteroce,

Koschaker failed to cite our text in support of this enlightening interpretation of
CI §§ 1424. only because he misinterpreted two of its key terms, babtum (which he
translated as oss) and magtrtam (which he translated as ‘agreement’).° Van Praag
oddly enough, used precisely the marriage contract of Enlil-issu and Ama-sukkal
refute Koschaker's interpretation of these paragraphs,"" overlooking the fact thet
as they stand, they exactly contradict the contract in the matter of the dowry,
allowing the wife to take it back if blameless while the contract provides that eh
must forfeit it, Dossin was the first to point out the intimate connection of the lane
suit with §§ 142, buthe refused to follow Koschaker’s interpretation of these paras
sraphs. Instead of reading their key term as nagrat, “chaste” (or the like), he pro.
posed to read nazrat and to translate ‘mistreated,’ thus referring the entire law to
the category of a long-consummated marriage. This is also his interpretation of our
lawsuit.

Dossin’s reading may, it is true, be retained without drawing these conclusions
from it, and CH rev. vii 06 ff, redered: “If she has been slandered though she was
blameless, her husband, moreover, would “go out’ and greatly humiliate her,” ete
For nazdru is a synonym of bu22wu and magriatim dababu' and may be rexdoved
“to curse, insult,” or, in short, “slander.” For the idiomatic expression “going out
to humiliate her” the charge of Deuteronomy 22:14, 19 (see below), literally, “he
caused a bad name to go out about ( a woman)” provides an instructive parallel
Finally the somewhat obscure “humiliate” (uéam(a, literally diminish”) has been

cited repeatedly in connection with 17°7 2 (1910) 3547, which, with its dupliente i
the only neo-Sumerian example of an annulment initiated by the wife. While zhe

ZA 35 (1924) 199-212,

# [bid., p. 206, note 1 (my translation).

 Rechtsvergleichende Studien pp. 44f., note 37.

“Op. cit., pp. 198 f,

“Cf. e e « a t
6 C195) aaeyer note 16. See also Goetze, “The Sibilant in Old Babylonian nagdrum,”” Orientaia

 Landsberger, ZDMG 69 523. “Id., MAOG 4 (1928-9) 319.

Dio now Falkenstein, NG 2 No. 169 with references to previous literature, and below, Excur.
sus 3. \ : :

THE SLANDERED BRIDE 101

crucial passage here is beset with difficulties, I would venture to render it “because
(the bride), while she was living in the house of her father, was slandered in public
by the groom, she withdrew from her status as wife.’*7

However, the interpretation of our republished lawsuit does not depend solely on
that of CH §§ 1421. Even closer parallels to it exist in modern Near Eastern custom
law on the one hand, and in Pentateuchal case law on the other. When such a case
arises among the fellahin, we are told, “The man puts his bride away; if her relatives
repay him the bride-price, he must be silent; if he speaks and the bride has really
been guilty, they kill her; if she is innocent he is killed. A jury of matrons de-
dia,

In Deuteronomy 22: 13-21 we read: “If a man marries a wife, and has intercourse
with her, and then turns against her, and frames wanton charges against her, and

 

_ slanders her by saying, ‘I married this woman; but when I had intercourse with her,

I did not find the existence of virginity in her,’ (then) the girl’s father and mother
shall take the evidence of the girl’s virginity and bring it to the elders of the city at
the gate, and the girl’s father shall say to the elders, ‘I gave my daughter to this man
in marriage, but he turned against her, and here he is framing wanton charges
against her, saying, “I did not find the evidence of virginity in your daughter.” Here
is the evidence of my daughter's virginity!’ Whereupon they shall spread out the
cloth before the elders of the city. Then the elders of that city shall take the man
and punish‘? him, fining him one hundred shekels of silver, and giving it to the girl’s
father, because he slandered a virgin of Israel. She shall be his wife as long as he
lives, without his being able to divorce her. If, however, the charge proves true, that,
the evidence of virginity was not to be found in the girl, the girl shall be brought
out to the door of her father’s house, and the men of her city shall stone her to death,
because she committed a shameless act in Israel by playing the harlot in her father’s
house.’”°

“Cf. Kraus, BiOr 15 (1959) 78 ad loc.

© Admittedly, this rendering fails to account for the troublesome ca in nam-Ii-la Ga
ba-a-bul.

#G. A. Smith after A. Musil in The Cambridge Bible: Deuteronomy, p. 263 (italics mine), For
bibliography of Arab customs generally in this matter, ef. 8. R. Driver, International Critical Com-
mentary: Deuteronomy, p. 255, notes.

“The revised JPS translation renders: “flog.””

® The Old Testament: An American Translation (1927), p. 310. According to an interesting hy-
pothesis of Julian Morgenstern, another application of the same kind of judicial investigation may
be preserved in Leviticus 19:20, which can be taken to mean: “If a man has sexual intercourse
with a woman who is a bondsmaid hateful (nehrepet) to (her) ‘husband? and (in spite of this; ef
Exodus 21:8) she has not been redeemed nor her freedom given to her, there shall be an investiga-
tion (biqgret) (of her allegation of virginity ; if she is vindicated) they shall not be put to death
since she was not freed.”” Of. HUCA 7 (1930) 45, note 37 (b).

  

  

 ",0,eng,87.20662486079547,False,1648426822.665944,1.75
4,"


 

 

 

 

 

0 EETTE_' '3r a ——EeEeEEeeee

102 WILLIAM W. HALLO

‘The points of resemblance between the Israelite law and the Babylonian practice
as reconstructed are numerous. First there is the slander of the girl by her bride-
groom. The Bible makes it abundantly clear just what was the content of the
slanderous accusation. While the Babylonian document leaves this unsaid, the
meaning of nu’esu and buzzwu may have been quite as clear in that context. Secondly
the question is settled in the gate of the city, by and in the presence of the elders,
in the Biblical law, while the Babylonian suit was tried in the “quarter.” For judicial
purposes, these are equivalent institutions, both providing a local court of first
resort, where a man could be judged by his peers, or at least by the elders of his own
community, without the intervention of any higher political authority."" Thirdly, if
the girl is vindicated, the husband must go through with the marriage, in addition
to paying the fine. In the Biblical law, this is expressed by the perpetual interdict
of divorce; in the Babylonian text it is implied by the groom’s protest and his offer
to “settle out of court.” Finally, if the groom is proved correct, it is a sign—in the
Bible—that the girl “has played the harlot (in) her father’s house,” that is, that her
father did not watch over her as he should have done between the contracting of the
marriage and its consummation.* Both Deuteronomy and CH § 143 provide the
death penalty in this case.

The only significant difference between the Biblical formulation and Babylonian
practice lies in the mechanics of the judicial process. Instead of investigating the
bridegroom’s allegations before consummation of the marriage, the Bible provides
for it afterwards, Accordingly aldermen, not alderwomen, decide the case. Commen-
tators have pointed to the fallibility, not to say crudity, of this method, the Talmud
wrestled at length with it,"" and indeed the tribal Arabs of today have “gone back”
to the Babylonian usage with female elders, as pointed out above. Here as elsewhere,
then, Biblical case law preserves a more archaic stage of legal development than the
corresponding provisions of Babylonian codes and contracts.

It has sometimes been remarked that Babylonian legal practice as attested in the
numerous contemporary records of litigation had little immediate relation to the
famous law codes of cuneiform tradition.* While we may deplore this lack of cor-
relation, we may have to extend the horizon of our comparisons and to reckon with
the possibility that the practice of one age and place within the Ancient Near East
may be reflected in the codification of another.

% Akkadian babtum, “quarter,” is of course derived from babum, ‘“gate.””

* Evidently, then, the bride could live in her father’s house during the interval in the Biblical
Jegal system as well as in the Babylonian case.

* Especially Tractate Ketubot pp. 1 ff.

“Cf. especially Landsberger, Symbolae .. . Koschaker (= Studia et Documenta 2, 1930) 219-234

THE SLANDERED BRIDE 103

Excursvs 1

‘The three texts of our case-history include from nine to fourteen witnesses each,
of whom seven or more are identical on two of the three tablets. They involve, then,
up to eighteen different witnesses, and these deserve more than passing notice,
though they are not essential to the arguments advanced above.

‘The witnesses to the marriage contract are: (1) Aiattaia, son of Naram-Sin,
(2) and (3) two pasisu-priests of Ninlil, (4) a brewer of Ninlil, (5) Ea-malik, son of
Silli-Ninurta, (6) a scribe, (7) and (8) the son and wife of a niSakku-priest, (9) the
wife of Lugal-azida, another nisakku-priest, presumably identical with the father of
Enlil-issu, (10) the son of a Ninurta-mansum, who is presumably identical with the
father of Ama-Sukkal, (11) Ninurta-muballit, son of Tab-ki-Ishtar, and (12) a seal-
cutter. This group, then, includes two witnesses ez officiis, the scribe and the seal-

~ cutter, who figure frequently in Old Babylonian contracts, three functionaries of

the temple of Ninlil (who may have represented the party of the bride), at least
two of whom recur in the supplemental dowry, three relatives of the groom or of
his fellow-nisakku, and the brother of the bride. Only three witnesses cannot be
identified by name or title as “interested parties” to the contract; the first, who
heads the list of witnesses, also witnessed the supplemental dowry, the other two
are listed just before the scribe and the seal-cutter, respectively.

‘The witnesses to the lawsuit are: (1)-(3) three brewers of Enlil, (4) Enlil-mudam-
miq, son of Rim-Ishtar, (5) Nabi-Enlil, son of Idatum, (6) Awil-Ninurta, son of
Aplum, (7) a baker, (8) a soldier (reda), and (9) a scribe. ‘The last two again acted
ex officiis,® while two of the brewers and at least two of the “disinterested witnesses”
had previously witnessed the supplemental dowry.

In the supplemental dowry, the list of witnesses is partly destroyed, but at least
seven of them can be identified, as we have seen, with witnesses from the earlier and
later documents. These include one or both of the pasifu-priests and the brewer of
Ninlil, perhaps representing Ama-sukkal’s interests, and two of the brewers of
Enlil, perhaps representing those of Enlil-issu. The “disinterested” witnesses include
at least three names from the marriage contract or the lawsuit. The list of witnesses
is concluded by a court deputy (rabis dajjani).*

Our dossier, then, helps to show that the choice and role of witnesses in Old
Babylonian judicial procedure were not wholly arbitrary. While some witnesses were
no doubt selected at random from the proverbial idlers in the city-gate for each
Occasion, others must have been chosen for their previous acquaintance with the
Contracting or contending parties or with the case at issue, and some of these were

 

Walther, op. cit., pp. 179 £.

 Tbid., pp. 173-177. *t [bid., pp. 169-173.",0,eng,92.13658116564417,False,1648426825.8473759,1.75
5,"


 

 

 

 

 

 

 

 

 

=

104 WILLIAM W. HALLO

themselves interested parties whose “signature” bound them, as well as the princi-
pals, to abide by the contract or legal judgment.

Excursus 2

‘The marriage of Enlil-issu and Ama-sukkal has been debated in the literature
almost as much as their divorce, and indeed it does contain some unusual features.
‘Though none of these has helped to explain the presence of the sibdtu in the divorce
proceedings, they may be briefly considered here.

In effect, Ama-sukkal seems to act on her own behalf: she “gives herself away”
in marriage, brings her own dowry to (the house of) Enlil-issu, and like him seals
the contract with her own seal.** On these grounds, it has been supposed that she
was perhaps either a widow** or a priestess, whose greater parity with men and
freedom from patriarchal authority have been often noted."" Van Praag, however,
objects that in this and similar cases"" we simply have illustrations of the consider-
able freedom enjoyed by Old Babylonian women generally."" The parity treatment
of women may already be in evidence also in some isolated neo-Sumerian examples.""

It is true that most Old Babylonian marriage contracts reserve the privilege of
initiating divorce proceedings—upon payment of specified monetary penalties—to
the husband, and in effect prohibit it to the wife under threat of much direr penalties.
But these contracts reflect the so-called Kaufehe,* in which the groom “pur-
chased” the bride with the bridal gift (ferhatum), conspicuous by its absence here.
That even CH provided for other forms of marriage is clear from §§ 139-140,"" and
there is no evidence that such other forms were restricted to women marrying in
their own right.

As a matter of fact, Ama-sukkal may have been given away by her brother, if
the list of witnesses to the contract is interpreted correctly above.” In that case we
may be dealing with an orphan who had passed into the power of the oldest son of
the deceased father; the fact that she may also have been a minor would not neces-
sarily prevent her using a seal which may have been cut for the occasion by the seal-
cutter who likewise attested the contract. Alternatively the contract could have been
drawn up in the temporary disability or absence of the father, if Dossin is correct
in restoring BE 6/2 47 to the effect that Ninurta-mansum paid the supplemental
dowry.” In any case one may well hesitate to regard Ama-sukkal as a priestess (in

% Koschaker, Rechtswergleichende Studien, p. 163, note 42.

% [bid. oF

© He cites also Schorr, op. cit., Nos. 2 and 6.

Op. cit., 78 et passim. % Cf. Falkenstein, N@ 2, No. 1.
“Cf. especially Koschaker, Ar Or 18/3 (= Symbolae Hroznj 4, 1950) 210-206.
""Of. van Praag, op. ci, 139, note 18.
* See above, Excursus 1,

  

., ZA 35 209.

 

  

*” AHDO 38 157.

THE SLANDERED BRIDE 105

the absence of any such title after her name) or as a widow (in which case she would
have been designated as the wife of her former husband in the contemporary usage).

Excursus 3

A further example of a neo-Sumerian divorce in favor of the wife’* has recently
been republished and edited by J. J. A. van Dijk.* In his interpretation of this
interesting court case, a husband convicted of homosexual activity sought to
exonerate himself by disclaiming legal marriage to his wife. But his defense, like
Enlil-issu’s, collapsed and, like Enlil-issu, he was forced to pay the divorce money
and to suffer corporal punishment besides. Though the case is worded wholly in the
neo-Sumerian of the Ur III court judgments, it cannot, on prosopographic grounds,
antedate the Early Old Babylonian period. In fact, though so far no duplicates have
turned up, its most obvious stylistic affinities are with the literary collection of legal
decisions by the kings of Isin represented by PBS 8 173,” and it probably belongs
to this genre.

""Cf. above, note 45. ZA 55 (1903) 70-78.

% Thorkild Jacobsen, “An Ancient Mesopotamian Trial for Homicide,” Analecta Biblica 12
(1959) 180-150,

 ",0,eng,91.16234659144543,False,1648426828.0998652,1.75
