pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
Yener_2005_OIP131_Amuq_Reg_Proj.pdf,72,103,True,False,False,2025-10-09T18:57:26.624135
KAH 1 (1911) & 2 (1922).pdf,22,2207,True,False,False,2025-10-09T18:57:28.831692
Melchert_LUVLEX.pdf,288,97,True,True,False,2025-10-09T18:57:28.929470
Albayrak_2005_JEOL39_5urkunden.PDF,5,22,True,True,False,2025-10-09T18:57:28.952229
"AAA 1-2, 1908-9.pdf",137,1233,True,False,False,2025-10-09T18:57:30.186508
"AnSt 34, 1984.pdf",5,2135,True,False,False,2025-10-09T18:57:32.984127
"ICK 2, 1962.pdf",139,49,True,True,False,2025-10-09T18:57:33.620772
"Anatolica 28, 2002.pdf",66,2067,True,False,False,2025-10-09T18:57:36.148238
Dercksen 2004 Old Assyrian Institutions PIHANS-98.pdf,115,1215,True,False,False,2025-10-09T18:57:37.363786
"Michel C.- Old Assyrian Bibliography (OAAS 1 -PIHANS 97, 2003) (OCR).pdf",103,45,True,False,False,2025-10-09T18:57:37.409265
"Marzahn, J & Salje, B. eds. - Wiedererstehendes Assur. 100 Jahre deutsche Ausgrabungen in Assyrien. 2003.pdf",181,63,True,False,False,2025-10-09T18:57:37.472857
"AnSt 13, 1963.pdf",96,5019,True,False,False,2025-10-09T18:57:42.530131
Saskova_K_ed_Climb_the_Wall_of_Uruk_Essa.pdf,35,942,True,False,False,2025-10-09T18:57:44.366686
"AnSt 41, 1991.pdf",241,2783,True,False,False,2025-10-09T18:57:47.804091
AKT 7b.pdf,447,196,True,False,False,2025-10-09T18:57:48.001383
"CTTMA 1, 1988.pdf",75,113,True,True,False,2025-10-09T18:57:48.115134
"Anatolica 30, 2004.pdf",193,2026,True,False,False,2025-10-09T18:57:50.141556
Hertel_2013_OAAS6_OA legal practices.pdf,482,948,True,False,False,2025-10-09T18:57:53.856701
CAD (A-N).pdf,107,2290,True,False,False,2025-10-09T18:57:57.981701
"AnSt 35, 1985.pdf",22,84,True,False,False,2025-10-09T18:57:59.594731
Pruzsinszky_2003_SCCNH13_Personnennamen_Texte_aus_Emar.pdf,52,374,True,True,False,2025-10-09T18:57:59.969720
"Veenhof, Klaas R. - Modern Features in Old Assyrian Trade. JESHO 40-4 1997 336-366 (1).pdf",17,542,True,False,False,2025-10-09T18:58:00.512672
