pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
"TC 2, 1928",1,p1_c1_b1_f0,"MUSÉE DU LOUVRE - DÉPARTEMENT DES ANTIQUITÉS ORIENTALES
TEXTES CUNÉIFORMES
THUREAU-DANGIN (FR.) - Lettres et contrats de l'époque de
la premiére dynastie babylonienne, vI11-68 pp., 116 planches,
petit in-folio, sous portefeuille, 1910.
GENOUILLAC (H. DE) - Tablettes de Dréhem, publièes avec
inventaire et tables, vII1-21 pp., 51 planches, petit in-folio,
sous portefeuille, 1911.
THUREAU-DANGIN (FR.)— Une relation de la huitiéme cam-
pagne de Sargon (714 av. J.-C.), texte assyrien inédit, publié
et traduit, avec une carte, xx-87 pp., 30 planches dont 8 fac-","171,174,1238,2667",1,p1_c1_b1_f3,"105 planches, petit in-folio, sous cartonnage, 1922.",de,"171,174,1238,2667",1,0.9000000000000001,0.0,True,False,True
"TC 2, 1928",1,p1_c1_b1_f1,"similés en phototypie, petit in-folio, relié, 1912.","171,174,1238,2667",1,p1_c1_b1_f4,THUREAU-DANGIN (FR.) — Lettres de Hammurapi a Sama-,tr,"171,174,1238,2667",1,0.9000000000000001,0.0,True,False,True
"TC 2, 1928",1,p1_c1_b1_f2,"CONTENAU (G.) — Tablettes cappadociennes, publiées avec in-
ventaire et tables, 18 pp., 70 planches, petit in-folio, sous
portefeuille, 1920.
GENOUILLAC (H. DE) - Textes économiques d'Oumma de
l'époque d'Our, 4 pp., 47 planches, petit in-folio, sous porte-
feuille, 1922.
THUREAU-DANGIN (FR.) - Tablettes d'Uruk a l'usage des
prêtres du Temple d'Anu au temps des Séleucides, 7 pp.,","171,174,1238,2667",1,p1_c1_b1_f5,"hâir, v11 pp., 38 planches, petitin-folio, sous cartonnage, 1924.",en,"171,174,1238,2667",1,0.9000000000000001,0.0,True,False,True
"TC 2, 1928",1,p1_c1_b1_f6,"ToME VII : THUREAU-DANGIN (FR.) - Les Cylindres de Goudéa, décou-
verts par Ernest de Sarzec à Tello, 54 planches, petit in-folio,
relie, 1925.
CONTENAU (G.) — Contrats et Lettres d'Assyrie et de Babylonie :
Contrats de Kerkouk - Contrats kassites - Contrats et
Lettres d'Assyrie - Lettres néo-babyloniennes, 6 pp., 54","171,174,1238,2667",1,p1_c0_b0_f0,"Tome I :
Tome II :
ToMe III :
Tome IV :
Tome V :
Tome VI :
Tome VII :
Tome IX :
Tome X :
Tome XI :",tr,"179,365,325,2128",0,0.48768385696556266,455.3180207283696,False,False,True
