pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
sbd,104,p104_c0_b0_f0,"1:197
se deroutent autonr de Kervt roaruisseat wy cadre.
uu dicor patbetique, rehauusse drun ctenent roma-
nesque, ta quète de la feuume, yui, avee quelques
autres thomes, perinct A C.Il. Gerisa de rapprocier
Keret die Pepopee homecipue (ed. The Gommon Back-
gentnd of Greek aud flebrew Givitls dioas, New York,
1962. p. 132 sqp). Mais. a Pictecivur de ce cadre. Ku
legende est clarger din double cuscigueancnt. Gest
d'abord une legon de potitiqup: : la mouarehie hare-
ditaire est Pordre voulu par te dien El pour le bieu
des houes. K.Il. Bernhardt et A.A. Morril Foat
recomnu, et M. Livarand a dicele tes elements de pro-
pagande que Keret a en comunus avee d'anutces tsept-
guages (pseudo-) listociques de fitsologle royad:, tets
que Piuscriptiou d'Ilrinii d'Aialakh ou P'autobiogru-
phie de Hattusili IIt (a L'epica ugtaritica net sno
contesto storico e letterario a, Afti del Comezgno iater-
uaziorale sul tena : la poesic epiea e ta sua formezionte,
Accadeinia Mnzionale dei Liucni, Rome, 1o7o, p. 859-
so9). C'est aussi une lecon de religion : ta royauté est
protegee par les dicux. par Et en pacticutier, parce
qu'elle est uécessaire a la vie des homues, done les
dieux, et El en garticulier, sont esseutielleuent provi-
dentiels. Tet est Iaspeet ditiactique de hi légende sur
tequel iusiste eu dernier lieu S.B. Parker (- The Histo-
rical Couposition of Krt aud th Cuit of El -, Z A W', 89
[19771, p. 161-175).
W.F. Abrigtt, & New Cuuauite Historiead aad Mytho-
togieal Datn , BASOR, 53 (19sG), P. 23-32. -- J. Aist-
Ieitner,  Die Keret Legende - Thendogia, 19as, p. 1-S. -
n. Dussaud, Les Jeconvertes de Ras Sfamra ef P'Ancieu
Testonaat, 2° 6d. 1ot1, p. 16o-t5s, -- J. Pedecsen, 4 Die
Krt Legende 4, Bergtas, 6 (19-t1), p. 65-105. - S. Mo-
wlaekel, a Innqanuciprofetien Jes. 7. Strelflys fra Ugarit","86,31,617,2965",0,p104_c0_b0_f1,"I "", Norsk teologisk lidskrift, 42 (1941), p. 129-157 ; -Til1,",en,"86,31,617,2965",0,0.9000000000000001,0.0,True,False,True
sbd,104,p104_c0_b0_f7,"1r° éd.' Leyde, 1955: 2 éd. 196t. -- K.H. Bernhardt,","86,31,617,2965",0,p104_c0_b0_f2,"uttrykket - Jahvaes tjeuer •. Streialys fra Ugarit, II "",
iid., 43 (1o42), p. 24-25. --- I. Engnell, Stadies (n Divine
Kingship ia the Aneient Near East, Upsal, 1913. p. 143-
173; • Tie Text II A frota Ras Slanra. A Prelintioary",en,"86,31,617,2965",0,0.9000000000000001,0.0,True,False,True
sbd,104,p104_c0_b0_f9,"Legacy of Cauauu, Leyde, 1957. p. 93-112; 2e éd. Leytle.","86,31,617,2965",0,p104_c0_b0_f3,"Iavestigntion , Religiou och Bibel, 1944, p, 1-20. --- H.L.",en,"86,31,617,2965",0,0.9000000000000001,0.0,True,False,True
