pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
Schorr_Urkunden_Altbabylonischen_Zivil_und_Prozessrechts,491,p491_c0_b0,"11Kiib Nu.Tuk-ma 12Kiib
im-lik-ilusín Ib. Ra (?)
Rechter Rand 1warah siman-
nim mu é dingirikur ba-dù
Richters"" geführt.
− _ 2ù ilusín 3_ _ itti gi-
1
mil-iluda-[mu?] 4Iar-ka-al-a _-_
5ù na-ru-ub-tum zêrmaituma
mari-u 6 ilusín-ni-ia 7ù ama-
dug-ga i-a-mu 8 am.Til.La.
Ni.Sú Kú.Babbar In.Na.L[al]
9i-tu-ru ir-gu-mu(!)-ma
bit daiânim 11ik-u-du-ma 12i-ta-
am-ga-ru-mab
14ni-i iluama
tu-un-i-la 16In.Pá(d).Dee
17a-na wa-ar-ki-it úmimi
18la-a i-raga-mu
Nu.Bar","15,77,383,2051",0,p491_c1_b1,"Urkunde 299—301.
Sie gel: 1im-lik-ilusin 2mår ilu sin-a-bu-u
Rev. 1. Zu nebahum vgl. S. 315, Anm. zu 23o, 7.
Rev. I1. == sem. kunukkam ul iu-ma (ina) kunuk i. ibrum.
301: Sippar, Bunutahtun-ila.
Text: R6 (CBM 1629). Bearb.: Schorr II 3; KU III 685. Inhalt:
2 Käufer erheben gegen G., A. und dessen Tochter Anfechtungsklage in
Sachen eines Sklavenkaufes, den sie mit ihnen kontrahiert haben. Es
kommt ein Vergleich zustande, worauf die Kläger die Vertragstreue
nochmals beschwören. 6 Zeugen. Der Prozef wird ,,im Hause des
10a-na
e-i-ta-am
ετ
 15ù bu-nu-tah-
1mahar ni-ik()-ri-ha-id(t)mabar ilusin-en-nam maramé
21mahar im-gur-ilusin 22mâr sa-ka-nu-um 23mahar be-el-u-n[u] mâr du-
1u-k[um(2)]24mahar e-tel-li(?)-ia 25mâr a-__ 2mahar i-_.",de,"15,31,669,2006",1,0.6357876146325516,158.55992558020452,False,False,True
Schorr_Urkunden_Altbabylonischen_Zivil_und_Prozessrechts,491,p491_c0_b0,"11Kiib Nu.Tuk-ma 12Kiib
im-lik-ilusín Ib. Ra (?)
Rechter Rand 1warah siman-
nim mu é dingirikur ba-dù
Richters"" geführt.
− _ 2ù ilusín 3_ _ itti gi-
1
mil-iluda-[mu?] 4Iar-ka-al-a _-_
5ù na-ru-ub-tum zêrmaituma
mari-u 6 ilusín-ni-ia 7ù ama-
dug-ga i-a-mu 8 am.Til.La.
Ni.Sú Kú.Babbar In.Na.L[al]
9i-tu-ru ir-gu-mu(!)-ma
bit daiânim 11ik-u-du-ma 12i-ta-
am-ga-ru-mab
14ni-i iluama
tu-un-i-la 16In.Pá(d).Dee
17a-na wa-ar-ki-it úmimi
18la-a i-raga-mu
Nu.Bar","15,77,383,2051",0,p491_c2_b2,"Da er ein Siegel nicht besafs,
hat er mit dem Siegel des
(Zeugen) Imlik-Sin gesiegelt.
Im Monat Simannum, im
Jahre der Erbauung des Tem-
pels des Adad.
1[Den x] und Sin- - - haben
von Gimil-Da-[mu?], Arkal _ _-
5und der Hierodule Narubtum,
seiner Tochter, Sinnija und
Ama-dugga gekauft. Für den
vollen Kaufpreis haben sie
Silber dargewogen.
Nun sind sie darauf zu-
rückgekommen. Nachdem sie
Klage erhoben, 10zumGerichts-
hof gekommen; sich (jedoch)
verglichen haben, haben sie
von neuem bei Sama 15und
Bunutahtun-ila geschworen.
In Zukunft werden sie nicht
klagen.
b) Das -ma der folgenden Zeile gehört hierher",de,"202,83,829,2057",2,0.4019485884899587,410.0987685911773,False,False,True
