pdf_path,page_no,success,processing_time,error,timestamp
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 42, 1992.pdf",26,True,81.12,,2025-10-09T11:43:51.455827
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 6e.pdf,63,True,21.14,,2025-10-09T11:44:12.595085
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Roche_Prosopography_v2.pdf,78,True,12.74,,2025-10-09T11:44:25.331350
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\hdo.PDF,8,True,16.42,,2025-10-09T11:44:41.748502
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Laurea, Tesi di - Aspetti storico-religiosi nell'onomastica paleoassira 831684-1157658.pdf",636,True,1.47,,2025-10-09T11:44:43.221112
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Strobel, Karl ed. - New Perspectives on the Historical Geography and Topography of Anatolia in the II and I Mill. B.C. Eothen 16, 2008.PDF",188,True,12.67,,2025-10-09T11:44:55.895979
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\BookScanCenter.pdf,5,True,1.96,,2025-10-09T11:44:57.860483
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\TC 2, 1928.pdf",13,True,11.93,,2025-10-09T11:45:09.792919
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\PRU III combined.pdf,351,True,13.83,,2025-10-09T11:45:23.626424
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Sanders_2006_OIS2_Margins_Writing.pdf,113,True,1.55,,2025-10-09T11:45:25.173709
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Kouwenberg_2017_GOA_HdO118.pdf,512,True,1.19,,2025-10-09T11:45:26.366796
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\yakubovich_diss_2008.pdf,180,True,0.47,,2025-10-09T11:45:26.841046
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,365,True,1.01,,2025-10-09T11:45:27.856609
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\rgtc02.pdf,141,True,2.89,,2025-10-09T11:45:30.742820
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,2987,True,4.26,,2025-10-09T11:45:35.004895
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 6d.pdf,36,True,27.64,,2025-10-09T11:46:02.647624
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 52, 2002.pdf",80,True,3.90,,2025-10-09T11:46:06.549708
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\astour1995.PDF,5,True,20.19,,2025-10-09T11:46:26.744512
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel_2009_Bottero.pdf,5,True,0.51,,2025-10-09T11:46:27.254796
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Neu, E. & C. Ruster eds - Documentum Asiae Minoris Antiquae. FS Otten zum 75. Geburtstag, 1988.pdf",228,True,12.14,,2025-10-09T11:46:39.397408
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Eisser, G. & Lewy, J. - Die Altassyrischen Rechtsurkunden von Kültepe, Teil 1 und 2. MVAG 33, 1930.pdf",273,True,3.86,,2025-10-09T11:46:43.258966
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kültepe-Kanıš, Neša. Seal Impressions on the Clay Envelopes. TTKY V 50, 2006.pdf",76,True,13.07,,2025-10-09T11:46:56.332114
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",12,True,1.76,,2025-10-09T11:46:58.091501
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,597,True,1.01,,2025-10-09T11:46:59.105200
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Scheil_1909_RT31_nouvelles.pdf,1,True,18.80,,2025-10-09T11:47:17.910624
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KUB 6.pdf,29,True,14.08,,2025-10-09T11:47:31.993948
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel C.- Old Assyrian Bibliography (OAAS 1 -PIHANS 97, 2003) (OCR).pdf",86,True,0.68,,2025-10-09T11:47:32.679287
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Hirsch_1972_Or41_zum_altassyrischen.pdf,17,True,22.54,,2025-10-09T11:47:55.216592
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kanış Karumu Ib Kati. Seals and Seal Impressions of Lebel Ib from Karum Kanish. TTKY V 25, 1968.pdf",100,True,11.14,,2025-10-09T11:48:06.356237
