page_id,page_text,conf_mean,lines_count,warnings,language,correction_stats,reading_order_stats
page_009,"iddia edilebilir. 2. Yapi: Roma Mezar Aniti 35°28' 13.8"" E 39°05' 02.9""E koruma önlemlerinin alinmas1 gerekmektedir. 3. Kizil Höyük 35°31' 18.35""E 39°05' 56.09"" N 10 Türk Arkeoloji Dergisi XXX, 83-103, (Resim: 19). 412 E'deki kalinti ile birleecektir. Buna dayanarak, Eriköy'de bir sur duvarnin olabilecei Felahiye lçesi, Kepiç Köyü sinirlari içinde yer almaktadr. Söz konusu yapinn Geç Roma Çai'na ait bir mezar anit1 olduu bilinmektedir10 (Resim: 9). Bu yapinin yaninda doal kaya üzerinde, Roma Ça1'na ait bir höyük yer almaktadir. Yapi, geçmiten günümüze dein define arayanlarin ve eski eser kaçakçilarnn hedefi olmu ve bu nedenle pek çok tahribata uramtir (Resim: 10). Yapinn bir bölümü çökmü; tonoz üst örtüsü ile arka cephesindeki alnlk penceresi ykilmtir. Yapnin içindeki ayaklarca tainan kemer sayesinde, tonozun y1kilmas1 belli bir noktada, kemer hizasinda durmutur. Fakat tonozun çöküü srasnda, kemerde de statik sorunlar olumu, çökmeler balam; kemer tonozdan ayrilm ve aaiya doru sarkmtir (Resim: 11). Kemerin kilit ta1 da dahil olmak üzere ortasindaki üç kemer blou parçalanm ve yerinden kaymtir. Bu bloklarin herhangi bir sarsinti ya da zaman içindeki bozulmalar1 sonucunda, yerlerinden aaiya dümeleri neticesinde, öncelikle kemer tamamen çökecek, ardndan yapinin tonozundaki yikilma devam edecek ve yapidaki tahribat büyük ölçüde artacaktir. Mevcut durumu ile kemerdeki bozulmalar, yapida ciddi bir çökme tehlikesi yaratmaktadir. Bu ekli ile yapinn içine girilmesi can güvenliini de tehdit etmektedir. Bu tehlikenin yan sira, yap1ya müdahale edilmemesi durumunda meydana gelecek olasi bir çökme, yapinn yikim sürecini balataca1 gibi, bu çökmenin ardindan yaplacak restorasyon da daha zor ve maliyetli olacaktir. Ayrica böyle bir ykim sonucu yapinin özgünlüü bozulacak olmasindan dolay1 yapi telafisi mümkün olmayan büyük bir zarara uram olacaktir. Bütün bu sebeplerden ötürü, bölge için esiz olan ve insan eliyle yaplan tüm tahribatlara ramen halen ayakta duran bu anitsal yapiya acil olarak müdahale edilmesi ve gerekli Kayseri Arkeoloji Müzesi tarafindan kurtarma kazs1 yapilm bir tümülüstür. Grégoire, H., 1909 ""Rapport sur un voyage d' exploration dans le pont et en Cappadoce"" Bulletin de Correspondance Helleniqué, 3-147, (s. 47-48, fig.7-8); Kodan, H.-Günbatti, C., 1992, ""Tontar Roma Mezari""",0.978,36,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 76, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 3.743171691894531e-05, ""elements_processed"": 36, ""columns_detected"": 1}"
page_021,"2 denmektedir. usûlü olduunun ortaya ç1kmasdr. yemin etmek durumunda olmasi ve yemin etmesidir. tabiidir. ikinci yer ise TC III 270, 42'dir. ANKARA KÜLTEPE TABLETLERI pan metin üphesiz 78 numarada ilediimiz tablettir. Bu metin, gözden geçirilecek olursa, bunun mektup üslúbunda, yerli beylikler ve beylerle ilgili dikkate deer bilgileri ihtivâ eden bir enteresan vesikâ olduu görülür. Metnin bainda Ili-idinin muhâtabi Uur-a-Assur'a, kendisine hâvåle edilen maksat için saraya çikip haber ulatirdi ve hangi yerin kral oldu-u bildirilmeyen ahsin ""Dikkat edilmesi gerekli olan bir husús ölçüsünde, verdii sözü tu-tacai..."" belirtilmektedir. Burada ayrica ayni kralin ""Altin (mevzúuna) ve Suluat'in bana gönderdii habere gelince: Wahusana'ya ayaini basmamalisin! Purushattum, Usunala ve Wahsuana rub'um'larina rabi sikkitim yemin edeceine göre (o) buraya gelmesin! . . .""Bu metindeki mühim olan noktalardan birisi KTP 14 ve f/k 183 (P. Garelli, Les Assyri-ens en Cappadoce, s. 329 v.d.) metinlerinde âhit olduumuz gibi, yemin usûlünün sâdece yerli beyler ve beyliklerle Krum Dâireleri arasinda veyâ sâdece dini mes'elelerde ve âhit-lik gibi hukuki ilerde cereyan etmi olmasi yaninda, gerektikçe yerli kirallarla, yerli yük-sek idâre kademesi mensuplari arasinda da ba vurulmakta olan bir muâmele ve bir teminât Bu bakimdan üzerinde dikkatle durulmasi gereken husús, rabi sikkitim sifatindaki yüksek memúrun sira ile Purushattum, Usunala ve nihâyet Wahsusana kirallarinn üçüne birden Çok önceden Purushattum'un rub'um rabium'u yâni ""büyük kiral"" bulunduu (Lands-berger, ArOr XVIII 1-2, s. 338; Hardy, AJSL 58, s. 177-2l6; Bilgiç, DTCFD VI, 5, s. 506) bilindiine göre, burada ilk defâ karlatiimiz Usunala'nin kiral ile öteden beri bilinen Wahuana'nin kiralnin Purushattum büyük krall1 çevresinde ona bal dier kirallk-lar olduklari kabûl edilmek gereklidir. Böylece, bu metne göre en azindan üçü birarada olan bu büyük kirallk ve kirallklarin idârí bir bütün tekil ettikleri neticesine varilmasi Söz konusu metnin 17-20. satirlari, imdiye kadar karilamadimiz mt Sarla ""Sarla memleketi"" ve ""Sabu'i= Sabua 'llar"" ifadelerini ihtivå etmesi itibariyle de büyük ehem-miyeti hâizdir. Bunlarin geçtii fikra aynen öyledir: a-na-kam i-ma-at Sa-ar-la Sa-bu-a-i-ú ha-ra-na-am ú-ká-i-lu-ni-a-ti-ma i-sa-áb-tù-ni-a-ti.... Sarla memleketinde Sabua'llar bi-ze yolu kapadlar ve bizi alkoydular"". Bu ifade yepyeni olarak hem ""Sarla memleketi"" hem de Sabuiu ""Sabua'lilar"" halk adn bize ifâ ettikten baka, bir içtimâi hâdiseyi, bir reak-siyonerlik hâdisesini de ortaya koymakta ve Sabua'lilar'n devlete ramen kendi kendileri-ne bir yol kapatma ve tevkif hâdisesine cür'et ettiklerine iâret etmektedir. Aaida bu, 78 No'lu dikkate deer metnin açiklanmasinda temas edildii üzere, 19. sa-tirda geçen Sabua'lilar'la ilgili 17-20. satirlar, yukarida transkripsiyon ve tercümesini ver-diimiz ekilde okunmak ve bir tam cümle olarak alnmak durumundadr. K. Balkan'n Anum-Hirbi Mektubu, s. 66, n. 95, 4'de yaptii ekilde bu cümle: a-na-kam i ma-at Sa-ar-la a Bu-a-i-ú ha-ra-na-am ú-kà-i-lu-ni biçimde subjonktif ve yarim bir cümle deildir. Bun-dan dolayi da burada yer ad Bua (!) deil Sabua ve oraya izâfe edilen halk ise Sabua'iu'dur. Bu cildimize âit yer adlari listesinde 10 No.lu, kalay ve kumalardan ibâret mallarin hitler huzúrunda iâde edildii yer olarak gösterilen Zu-ba-na yazill yeni yer ad henüz baka metinlerde geçmemitir ve yeri hakknda bir bilgi vermek de mümkün deildir. An-cak bakaca da benzerleri görüldüü üzere bu yer ad (YA), dier iki metinde ayni yazlla ahis ad (A) olarak da görülmekte, bunlardan Ank. 14-l-180, 4'de Uswana'nin babasi ola-rak geçmektedir. Bu tablet C. Günbatti tarafindan yeni olarak DTCFD XXXI, 1-2 (Cumhu-riyetin 60. Yildönümü Armana1, 1987), s. 190 da neredilmitir. ahis ad olarak geçtii",0.977,49,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 124, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.7206878662109375e-05, ""elements_processed"": 49, ""columns_detected"": 1}"
page_036,"20 ANKARA KULTEPE TABLETLERI II sik gümüü kadn kölenin adna verdik. 16-191/2 mina 3 3/4 eqel gümü ya eritilme esnasin-da ya da normâl/tabi artlardan dolayi azaldi. 6,7: Bu satrlarda geçen §ahis ismi, B. Kienast tarafindan önce ATHE 21 A, 1.3.19; 43, 15'de Zu-ba, sonra FA0S Beih. 1, 1984, 8, 15'de Sú-pá olarak yazilmtir. K. Balkan ise; AS 23'te Ingilizcesi yayinlanan Belleten c. LI, sa. 200, s. 420 ve n. 5'teki makalesinde ismi, Zuba olarak okumakta ve muhtelif yönleriyle ele almaktadir. AKT I 25, 54.57; 45 z. 1 ve 67,15'te de geçen isim, Supa olarak kaydedilmitir. 17-19: Bu satrlardaki ""lu i sa'udim lu ina iertim imti"" ifâdesi içerisinde geçen; sa'udum, AHw s. 1074a'daki sâdu II, sudu ""eriyip yok olmak"", II. kalpta ""erimek, ergi-mek; tasfiye etmek"" ve CAD S s. 59'daki sâdu B ""erimiç olmak, erimek; tasfiye etmek""fiiilinden yapilm bir isim olduu açktr.""i-Sé-ra-tim"" kelimesinin ise; AHw s. 394b'de isertum III, CAD I-J s. 224-5'de isaru'nun feminen formu olarak kabul edilen ise/artu eklinde kaydedilen ve ""normål, normâl miktar""mânâsindaki kelimeyle aynilindan üphe edilmemelidir. Nitekim, CAD M I s. 429b'de, TCL 14 14, 23'den alnti yapilan 5 GIN ina isertim im-ti ifädesi ""normâl miktardan 5 seqel azald""diye tercüme edilmitir. Ifade, aaida siralayacaimiz metinlerde farkl yazl ekilleriyle de geçmektedir: 1) CAD M I s. 430'da, HUCA 39,26'dan aktarilan L 29-569 metni st. 23 v.d. ""x kaspum lu ina sa-ú-dim lu ina isertim im-ti"" cümlesi tercüme edilmemi, ifadenin gümüün tasfi-yesiyle ilgili olduunu belirten kayit konmutur. 2) AfO 12, s. 347 ve AC s. 194, n. 3'te kaydedilen KTP 45: 2[..] ma-na KU.BABBAR 3[ú-]sé-bi4-lá-ma lu i-na [i-]sé-ra-tim lu i-na 5sa-ú-dim 1/3 ma-na i-bi-tí-iq (!) 3) CCT IV 4a 41lu i-na sa-ru-pi-im 42lu i-na é-ra-tim 43mu-tá-e... 4) Kay.13: x+20[....] lu nu-sa-id lu i-[na] 21sé(!)-ra-tim im-tí 5) Yine AfO 12 s. 347'de kaydedilen TC II 14 metni: 213 2/3 GÍN sa §ax-e-dim 225 GIN i-na i-sé-ra-tim 23im-ti .... Bu ifâde içerisinde geçen sa'udum münasebetiyle M.T. Larsen'in OACP s. 42'deki""sa'udum"" ile ilgili açiklamalarina göz atalm: M.T. Larsen, adi geçen yerde P. Garelli'nin sa'udum için ""(eein) koum takim ile münâsebetli materyâlden bir nesne"" dediini ve bunun mümkün olabileceini belirtmektedir. Ayrica, kendisi, sa'udum'da textillerin depo-lanabileceinden ve kayiplarin meydana gelebileceinden bahsederek, kelimenin daha çok textil yüküyle ilgili metinlerde göründüünü, yalniz metal bulunduran yükler sözkonusu olan yerlerde aslâ görünmediini açklamaktadr. Metnimiz ise sadece 12 mina gümü ve bunun nerelere verildiini belirtmekte ve eer kelimeler farkl köklerden deilse M.T. Larsen'in bu konuda yanldiini ortaya koymaktadr. Kanaatimizce kumalarin bahsedildii metinlerdeki sa 'udum ile metallerin bahsedildi-gi metinlerdeki sa'udum'u ayirmamak gerekir. Lugatlerde s ile sa'udum kelimesine rastla-yamam bulunuyoruz. AHw s. 1002 b'deki sâdum ""vurup öldürmek"" fiilinin sözkonusu kelimesiyle irtibati olmasi, sadece kelimeye verilen mâna dikkate alindiinda dahi mümkün görünmemektedir. Biz, sa'udum ile birletirmek istediimiz sa'udum kelimesinin,",0.979,42,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 165, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.9591064453125e-05, ""elements_processed"": 42, ""columns_detected"": 1}"
