pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-09T17:33:00.821305
G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,6,False,0.19,no such file: 'G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF',2025-10-09T17:33:01.091580
G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,7,False,0.09,no such file: 'G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF',2025-10-09T17:33:01.185896
G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,8,False,0.09,no such file: 'G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF',2025-10-09T17:33:01.283188
"G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\AKT 4, 2006.pdf",21,False,0.10,"no such file: 'G:\.shortcut-targets-by-id\1BfGSu5TPlWEErX8mCL94gGpsDDT00_qI\AKKADICA_Project\SourceMaterial\SecondarySource\AKT 4, 2006.pdf'",2025-10-09T17:33:01.388348
