pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
Scheil_1909_RT31_nouvelles,1,p1_c1_b1,"NOUVELLES NOTES D'ÉPIGRAPHIE ET D'ARCHÉOLOGIE ASSYRIENNES
much resemblance to these scenes from the tombs of Sheik Abt-el-Gurna and may be a
somewhat conventional representation of the same ceremony (fig. 4).
In this scene, the flames, if they are such, are not represented coming out all over
the heap of offerings as in the other instances noticed, but by a
curve of dashes or short rays somewhat removed from the heap
of offerings. This may be a conventional representation of the
smoke and flames depicted in figures 2 and 3 but it seems to me
also possible that it is no more than a conventional representation
of the flowers often laid in profusion upon the offerings of the
Egyptians.
The period from which the tombs at Sheik Abt-el-Gurna date
is the XVIIIth Dynasty. The tomb of Setau at El-Kab is of Rameses IX of the
NOUVELLES NOTES D'ÉPIGRAPHIE ET D'ARCHÉOLOGIE ASSYRIENNES
PAR
V. SCHEIL
L'eminent Directeur et le public savant du Recueil de Travaux relatifs à la Phi-
lologie et à l'Archéologie égyptiennes et assyriennes m'approuveront, je pense, de
reprendre la série, interrompue depuis plusieurs annees, des Notes d'épigraphie et
Qu'on me pardonne si je dis (pour user d'une de ces formules banales dont se
couvre l'estime que chacun fait de soi), si je dis que ces modestes publications furent
toujours accueillies non seulement avec indulgence, mais encore prisées assez haut par
Vingt voyages en Orient, des relations les plus diverses, voire des amitiés eche-
lonnées de Bassorah á Paris en passant par Bagdad, Alep et Constantinople, la presence
continue de mon frère à Mossoul, au cour de l'Assyrie, depuis plus de vingt-cinq ans,
m'ont permis, en effet, de posséder et de publier maints documents souvent de choix et
presque toujours de première fraicheur. Cette petite collection, qui existe en formation
depuis vingt ans et dont j'ai publie le premier echantillon en 1889 dans le IV volume
de la Zeitschrift für Assyriologie, p. 282, se trouve presentement en partie chez moi,
en partie dans la bibliothèque de M. P. Morgan, a New-York, á qui j'en ai cede
quelques pièces. Cette dernière partie contient exclusivement des documents assyro-
babyloniens et une tablette anzanite procurée par Gejou (1899) : Johns vient d'en faire
1. Pages 41 à 47, dans Cuneiform Inscriptions... Collections contained in the Library of J. P. Morgan","134,78,1243,2791",1,p1_c0_b0,"54
Fig. 4.
XXth Dynasty.
d'archéologie assyriennes.
les connaisseurs.
le catalogue'.
(New-York, Rob. Grier Cooke).",fr,"127,80,422,2831",0,0.4992723500964776,418.0792389009528,False,False,True
Scheil_1909_RT31_nouvelles,1,p1_c2_b2,"NOUVELLES NOTES D'ÉPIGRAPHIE ET D'ARCHÉOLOGIE ASSYRIENNES
Texte cappadocien ninivite. — Le document que je publie aujourd'hui et dont je
possède l'original provient de la region de Mossoul. Il appartient, sans l'ombre de doute
possible, au type des tablettes éditées par Golénischeff dans un volume sépare (1891) et
par moi dans la Mission en Cappadoce, de Chantre (1898). Ces exemplaires prove-
naient de Cesaree, et on les baptisa cappadociens. Ne faut-il pas revenir sur ce vocable,
puisque l'Assyrie proprement dite est aussi le lieu naturel de leur gisement?. .. A vrai
dire, ces textes sont assyriens, et d'une époque ou Cappadoce, Mitanni, Assyrie, for-
maient un tout politique, vers 2ooo environ avant Jesus-Christ. C'est á ce titre, et
pour cette conclusion, que le petit monument reproduit ci-après est important. Il s'agit
d'une lettre d'affaires; quelques détails du contenu restent encore obscurs et devront
etre remis à l'étude, quand seront moins rares des pièces analogues.
P
 
   77
T y t-
(Face)
1 A-na A-ur i-din ki-be-ma
um-ma A-ur na-da-ma
20 ma-na kaspi
lu a−ki−ip HI-A
lu na−ru−ki [H]−A
5
lu i-na dib-bu HI-A
A-sir (ilu) Sami-(si)
na-a-a-qu.","1227,77,2138,2705",2,p1_c3_b3,"55
I
 
J  
H
P
Y 
 
(Revers)
1 a 10 ma-na
AN-NA a 10 ma-na
1/3 ta-ni  a-ma-ma
it-ba-li-u-um-ma
si(?)-bi-lam-ma la(l)
5
ni-a-la(l)-kam-ma
a-ma−kam  La(l)-α-ba
1 ma-na-u
kaspi
li-ki-'
10
-u.",en,"1646,74,2524,2829",3,0.45152188269895394,614.837376872942,False,False,True
