pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
NABU (missing 1999 no.2) (1),883,p883_c0_b0,"A) NOMS GEOGRAPHIQUES
ADKirum
dA-MUki
Ampihbi
(uruAp-pi-ha-bu
(uru)Bit-Ahhê-ulum
(uru) Bit-Idiya
Biddah
Chypre (début IIe millénaire)
Crète (relations avec I'Anatolie)
Dilbat
Dür-Katlimmu
Egée (début du IIe millénaire)
Elam
Elam (rois néo-élamites)
Gú-nu/numki(partie du palais d'Ebla)
Ha-aki
Habur
Haburâtum
Halabit
Hana (royaume)
Hanat
Harbú
Haute Mésopotamie (rituels d'alliance)
Hindanu
Humadeu
Ilan-ur
Kahat
Kani
Kit(ta)qa*
(uru) Ki-x-(x)-qa
KTK
Kumme
Kurda
Kuwara (= Rejibah)
Lahiri
Larsa
Larsa (date de la prise de L.)
Lasqum
Lutpi
Marki
Masuwari (nom hourrite de Til Barsip)
Mèdes
Mgdl/Ma-ag-da-la
Mulhân
Nagar
Ninsun
Nippur
Nutur (= Tell 'Ubaid)","97,390,488,2818",0,p883_c1_b1,"NA.B.U.
1995
INDEX
82
81
5
5
36
36
23
88
88
4
3
88
115
44
89
91
86
19
86
23
86
86
17
109
54
31
31
88
30
30
30
19
18
91
5
40
65
86
19
33
30
21
3
86
51
91
7, 109
91",en,"544,74,819,3148",1,0.4488458513985753,630.8385292608561,False,False,True
NABU (missing 1999 no.2) (1),883,p883_c2_b2,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân
NOMS DE PERSONNES
A+A-na-dEN
A-dar-ri-ia
A-ga-ba-te
dAGi -a-a-ta
Ah-ú-hu-ú (= Xerxès)
Ah-zi-iá-a-u
Apil-ili","689,389,1103,2844",2,p883_c3_b3,"8
8
6
9
9
10
8
5
3
10
8
8
4
11
3
10
8
3
3
3
3
9
2
3
3
5
64, 9
1
7
8
5
8
19
86
19
47
6
6
6
6
35
3
115",en,"1136,403,1230,2864",3,0.47281474013315766,511.0638414131839,False,False,True
