pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
afo_realien,2242,p2242_c0_b0_f0,"Ninurta-kudurri-us. ur
Siehe auch
→Suh˘u
Ninurta-kudurr¯ı-us.ur
Ninurta-r¯a↪im-z¯eri
Ninurta-šum-iq¯ıša
Ninurta-Tempel
Ninurta-tukul-Aššur
Siehe auch
→Eponymen
Ninurta-tukul(ti)-Aššur
Siehe auch
→Mutakkil-Nusku
Ninurta-tukulti-Aššur","74.40899658203125,70.91521453857422,237.90029907226562,1191.6752395629883",0,p2242_c1_b1_f0,"Graysonm Corolla Torontonensis, 80ff. [Bd. 44/45 (1997/1998), S. 650]. Ismac¯ıl, Sumer 42, 88f. (arab.) [Bd. 35 (1988), S. 314].",en,"74.40899658203125,173.93341064453125,538.3352279663086,1148.7776489257812",1,0.6262590175116538,170.9352326751278,False,False,True
afo_realien,2242,p2242_c1_b1_f3,"H. Koch, Königreiche, 104f. Abb. 91 (Kalh˘u; Zeichnungen) [Bd. 52 (2011), S. 599]. Pedersén, ABB 228ff. (Archiv des T. ¯abija im Ninurta-Tempel in Babylon) [Bd. 52 (2011), S. 599].","74.40899658203125,173.93341064453125,538.3352279663086,1148.7776489257812",1,p2242_c1_b1_f1,"van Driel, BiOr 47, 573f. (Sohn des Nanna-mansum, aB, Nippur) [Bd. 40/41 (1993/1994), S. 415].",en,"74.40899658203125,173.93341064453125,538.3352279663086,1148.7776489257812",1,0.9000000000000001,0.0,True,False,True
