pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
"Sallaberger, W. et al eds - Third Millennium Cuneiform Texts from Tell Beydar (Seasons 1996-2002). Subartu 12, 2004",73,p73_c2_b2_f6,"Subartu IV: M. Lebeau (ed.)
About Subartu. Studies Devoted to Upper Mesopotamia.
Volume I: Landscape, Archeology, Settlement. Volume II: Cult
A propos de Subartu. Etudes consacrées à la Haute Mésopota
Volume I: Paysage, Archéologie, Peuplement. Volume II: Cultu","1245,118,1929,3037",2,p73_c2_b2_f0,"Subartu series backlist:
Subartu I: S. Anastasio
The Archaeology of Upper Mesopotamia.
An analytical Bibliography for the Pre-Classical Periods.",en,"1245,118,1929,3037",2,0.9000000000000001,0.0,True,False,True
"Sallaberger, W. et al eds - Third Millennium Cuneiform Texts from Tell Beydar (Seasons 1996-2002). Subartu 12, 2004",73,p73_c2_b2_f12,"Subartu VII: O. Rouault & M. Wäfler (eds.)
La Djéziré et I'Euphrate syriens de la protohistoire a la fin du
Tendances dans I'interprétation historique des données nouve","1245,118,1929,3037",2,p73_c2_b2_f1,"248 p. + ill., A4, Brepols, 1995, PB, ISBN 2-503-50416-7",en,"1245,118,1929,3037",2,0.9000000000000001,0.0,True,False,True
"Sallaberger, W. et al eds - Third Millennium Cuneiform Texts from Tell Beydar (Seasons 1996-2002). Subartu 12, 2004",73,p73_c2_b2_f14,"Subartu VIII: M.G. Masetti-Rouault
Cultures locales du Moyen-Euphrate. Modèles et événement:","1245,118,1929,3037",2,p73_c2_b2_f2,"Subartu II: F. Ismail, W. Sallaberger, Ph. Talon & K. Van Lerberghe
Administrative Documents from Tell Beydar (Seasons 1993-1995).",en,"1245,118,1929,3037",2,0.9000000000000001,0.0,True,False,True
"Sallaberger, W. et al eds - Third Millennium Cuneiform Texts from Tell Beydar (Seasons 1996-2002). Subartu 12, 2004",73,p73_c2_b2_f18,"Subartu X: M. Lebeau & A. Suleiman (eds.)
Tell Beydar, The 1995- 1999 Seasons of Excavations. A prelin
Tell Beydar, Rapport préliminaire sur les campagnes de fouill","1245,118,1929,3037",2,p73_c2_b2_f3,"287 p. + ill., A4, Brepols, 1996, PB, ISBN 2-503-50539-2",en,"1245,118,1929,3037",2,0.9000000000000001,0.0,True,False,True
