pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
Larsen 2007 FS Adams - Individual and Society,6,p6_c2_b2_f1,"ually owned.
joint-stock funds; see further below.
context of inheritance problems.
É a-bi-u ù [A]-li-li il5-qe).","446,73,1044,2909",2,p6_c0_b0_f0,"Jo
2004: 6572).
out of your joint-stock capital.""16
overriding.
na-ru-qi-kà: u-gul",en,"98,73,379,2904",0,0.3413931706241436,680.5045921961145,False,False,True
Larsen 2007 FS Adams - Individual and Society,6,p6_c2_b2_f1,"ually owned.
joint-stock funds; see further below.
context of inheritance problems.
É a-bi-u ù [A]-li-li il5-qe).","446,73,1044,2909",2,p6_c2_b2_f0,MUGENS IROLLE LARSEN,tr,"446,73,1044,2909",2,0.9000000000000001,0.0,True,False,True
Larsen 2007 FS Adams - Individual and Society,6,p6_c3_b3_f0,"As a logical consequence of the fact that all
property was individually owned, no firm or family
(bt PN) ever appears in a debt note as either
creditor or debtor,17 and writers never refer to
money owned by the family, only to funds that
may be stored and available in the paternal house-
hold.18 The exact meaning of phrases such as ""on
behalf of "" or ""in the name of the paternal house,""
referring to situations where an individual collects
debts, entrusts money to others or discusses with
customers, has to be established on the basis of an
analysis of the context.19 These references point
to the importance of the family in the Old Assyrian
commercial system without challenging the fun-
damental observation that all capital was individ-
Investments
The naruqqum, or joint-stock partnership,
formed the basis for the individual Assyrian
17. With the exception of ownership of investments in
18. See for instance AKT 2, 57: 5-14, a letter to a lady in
Assur from her brother in Anatolia, where he writes: ""My
dear sister, my dear lady, if there is any silver there of our
father's house, then satisfy Idaya's son. If you do not wish to
(do that), then let Pilah-Aur sell my house there to pay off my
creditor."" (a-ha-ti a-ti be-el-ti a-ti a-ma-kam i-na KúBABBAR
Sa É a-big-ni $u-ma i-ba-t DUMU I-da-a-a tà-i-big Su-ma lá
li-bi4-ki a-[ma]-kam É-tf-a Pr-lá-ah-A-ùr li-dí-ma tám-kà-ri
lu-a-bi4). The situation seems to indicate that the father was
dead, and the request to spend money available in his house
may have been somewhat irregular, since noone could know,
presumably, to whom the money belonged. The very rare ref-
erences to debts of the paternal house (see for instance BIN 4,
83: 33-37) are probably in all instances to be placed in the","597,150,1123,2789",3,p6_c3_b3_f1,"19. See Larsen (2002, q68: 3-7), where Aur-nda writes",en,"597,150,1123,2789",3,0.9000000000000001,0.0,True,False,True
Larsen 2007 FS Adams - Individual and Society,6,p6_c3_b3_f2,"to the lady Abaya: ""In accordance with the missive I sent to
you Innaya has here discussed with the customers in your
 name and in the name of your father's house"" (a-ma-lá na-á
pè-er-tim a á-pu-ra-ki-ni a-na-kam I-na-a a-u-mi-ki i a-na
u-mì É a-bi-ki tám-kà-ri e-ta-wu; kt 94/k 1742: 26-29: ""I also
entrusted 40 minas of refined silver that was in the name
of my father's house to Pilah-Itar"". (ú a-ha-ma 40 ma-na
KUBABBAR sa-ru-pá-am a a-na u-mì É a-bi-a a-na Pr-1lá-
ah-I1[tar] áp-qt-id); or kt a/k 1030: 1-5: ""Out of Iddin-Suen's
copper Tab-Aur received 13 talents 20 minas of poor copper
on behalf of his father's house and Alili"" (i-na URUDU a I-dí-
Sú-in 13 Gú 20 ma-na URUDU la-mu-nam DU10-A-ur ki-ma","597,150,1123,2789",3,p6_c3_b3_f1,"19. See Larsen (2002, q68: 3-7), where Aur-nda writes",en,"597,150,1123,2789",3,0.9000000000000001,0.0,True,False,True
Larsen 2007 FS Adams - Individual and Society,6,p6_c1_b1_f0,"archive, and the texts reflect the activities of a
much larger group of persons. Obviously, we are
dealing with a much richer and more influential
family, and the letters show that a fairly large
group of persons whose relationship to the central
figures is not clear, whether family, in-laws or
clients, were engaged in the affairs of the family.
The pater familias here was a certain Issu-arik;
he had moved to Assur late in life and left his
two sons alim-Aur and Iddin-abum in Anatolia,
while a third son, Aur-bl-awtim, appears to
have lived in Assur where he held a high post as
laputtum in the city government (see Dercksen
At a time when the father was still alive he had
ordered alim-Aur to lend his brother a large
sum of money to help him pay his debts. This re-
quest is contained in a quote found in a letter:
Yes, Issu-arik spoke as follows to him in our presence:
""Pay the debt of your brother, both here and abroad, and
then go and take it again out of your brother's silver. If
there is no silver belonging to your brother, then pay
Years later, after the brother Iddin-abum's death,
this led to a complex lawsuit where alim-Aur
attempted to retrieve his money from his brother's
heirs. The fact that he did not collect the debt,
but left the large sum of money advanced to his
.brotherin:his hands, and the fact that it was
apparently ignored in daily transactions between
the members of the family over a period of several
years, again indicates the close relations that could
exist between brothers. It is even more striking
given that the archive does not indicate any com-
mercial collaboration between the two brothers.
It is doubtful whether alim-Aur could have
refused his father's order, for even though the
brothers functioned as independent traders in
Anatolia, administering their private funds, the
authority of the pater familias was presumably
16. kt 94/k 840: 2−23: ke-na I-sú-ri-ik i-na ma-ah-ri-ni [el-
ta-wu-u-um um-ma u-ut-ma ha-bu-ul : a-hi-kà : lu a-na-kam :
lu i-na GÁNA-lim u-qú-ul-ma ù a-lik-ma : i-na KùBABBAR-
áp a-hi-kà : le-gé : u-ma [KU.BABBAR]-áp a-hi-kà lá-u i-na","83,151,613,2783",1,p6_c3_b3_f1,"19. See Larsen (2002, q68: 3-7), where Aur-nda writes",en,"597,150,1123,2789",3,0.330818727611159,769.0026007758361,False,False,True
