pdf_path,page_no,success,processing_time,error,timestamp
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Pruzsinszky_2003_SCCNH13_Personnennamen_Texte_aus_Emar.pdf,52,True,0.55,,2025-10-09T16:37:15.627591
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,1096,True,1.40,,2025-10-09T16:37:17.027083
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\BIN 6, 1944.pdf",67,True,11.12,,2025-10-09T16:37:28.150039
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Klinkott, Kubisch, and Muller-Wollermann, eds - Geschenke und Steuern, Zolle und Tribute. CHANE 29, 2007.pdf",476,True,0.49,,2025-10-09T16:37:28.638641
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,3850,True,1.10,,2025-10-09T16:37:29.739912
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\PRU III combined.pdf,301,True,11.50,,2025-10-09T16:37:41.245455
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,1203,True,0.90,,2025-10-09T16:37:42.149018
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\momrak.pdf,328,True,0.46,,2025-10-09T16:37:42.611337
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,1563,True,0.79,,2025-10-09T16:37:43.398820
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,837,True,15.57,,2025-10-09T16:37:58.966081
