pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
Veenhof_1994a_JEOL33_schoneveld_collection,2,p2_c0_b0_f1,"the writing SnKURii-lí in TCL 1,83:5).","210,95,625,2421",0,p2_c0_b0_f0,"136
Sippar).",en,"210,95,625,2421",0,0.9000000000000001,0.0,True,False,True
Veenhof_1994a_JEOL33_schoneveld_collection,2,p2_c2_b2_f0,"Text 18
Measurements: 54 x 26 x 16 mm
Provenance: Uruk?
Date: unknown (possibly ca. 530 B.C.)
Obv. IM PKI-dAG-TIN a-na
PNi-qu-du AD-ía
dAG u AMAR.UTU u-lum
u TIN á AD-ía liq-bu-ú
ú-hi-nu á PdAG-GIN-A
5.
á a-na PTIN-su taq-bu- ú
um-ma DUMU ip-ri it-'ti
PIna-sùH-UR u-pu-ru
DUMU ip-ri it-ti-ú
ki-i il-li-ku
10.
ha-sa-ri i-te-pu-us
úNU.gi§KIRI6.ME ul i-man-gur!
um-ma ú-il-tim-ME
i-bi-in-na-a-ú
pdAG-ku-sur-an-ni
15.
it-te4-ru-ú
Edge ù Túg.KUR.RA-ú
""it'-ta-"" u-u'
Rev. ki-i i-al-li-[mu]
20.
1-en u4-mu al-kam-[ma]
a-di lib-bi ni-il-li-ki”
za-a-nu-ú Zú.LUM.MA
i-na-ak-ka-as-su-ma
si-bu<-ti>-ka ul ta-ka-ad
25.
 a-na UGU PIna-SUH-UR
i-qab-bi-ka um-ma
PIna-SùH-UR ri-i-qu
mi-nu-ú ki-i ta-na-á-a
dAG a-ki-i pi-i-ú
1) I am indebted to Dr. G. van Driel (Leiden) and Dr. M. Jursa (Vienna), who contributed — as
always — valuable suggestions.","1208,277,2016,2360",2,p2_c3_b3_f0,CUNEIFORM TABLETS OF THE SCHONEVELD COLLECTION,en,"1434,96,2690,2332",3,0.45489480858973247,595.8137292812243,False,False,True
