pdf_path,page_no,success,processing_time,error,timestamp
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 42, 1992.pdf",26,True,0.69,,2025-10-09T14:20:48.145138
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 6e.pdf,63,True,0.49,,2025-10-09T14:20:48.634908
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Roche_Prosopography_v2.pdf,78,True,12.30,,2025-10-09T14:21:00.931186
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\hdo.PDF,8,True,16.67,,2025-10-09T14:21:17.598441
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Laurea, Tesi di - Aspetti storico-religiosi nell'onomastica paleoassira 831684-1157658.pdf",636,True,14.88,,2025-10-09T14:21:32.483394
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Strobel, Karl ed. - New Perspectives on the Historical Geography and Topography of Anatolia in the II and I Mill. B.C. Eothen 16, 2008.PDF",188,True,11.79,,2025-10-09T14:21:44.271272
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\BookScanCenter.pdf,5,True,0.68,,2025-10-09T14:21:44.950621
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\TC 2, 1928.pdf",13,True,12.95,,2025-10-09T14:21:57.897576
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\PRU III combined.pdf,351,True,14.85,,2025-10-09T14:22:12.750302
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Sanders_2006_OIS2_Margins_Writing.pdf,113,True,0.53,,2025-10-09T14:22:13.282089
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Kouwenberg_2017_GOA_HdO118.pdf,512,True,0.44,,2025-10-09T14:22:13.718696
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\yakubovich_diss_2008.pdf,180,True,0.48,,2025-10-09T14:22:14.198281
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,365,True,0.92,,2025-10-09T14:22:15.117210
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\rgtc02.pdf,141,True,0.54,,2025-10-09T14:22:15.655450
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,2987,True,0.74,,2025-10-09T14:22:16.394673
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 6d.pdf,36,True,0.43,,2025-10-09T14:22:16.822780
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 52, 2002.pdf",80,True,0.69,,2025-10-09T14:22:17.509734
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\astour1995.PDF,5,True,22.09,,2025-10-09T14:22:39.603339
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel_2009_Bottero.pdf,5,True,0.50,,2025-10-09T14:22:40.107348
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Neu, E. & C. Ruster eds - Documentum Asiae Minoris Antiquae. FS Otten zum 75. Geburtstag, 1988.pdf",228,True,13.05,,2025-10-09T14:22:53.156673
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Eisser, G. & Lewy, J. - Die Altassyrischen Rechtsurkunden von Kültepe, Teil 1 und 2. MVAG 33, 1930.pdf",273,True,1.01,,2025-10-09T14:22:54.166690
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kültepe-Kanıš, Neša. Seal Impressions on the Clay Envelopes. TTKY V 50, 2006.pdf",76,True,12.68,,2025-10-09T14:23:06.844387
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",12,True,0.54,,2025-10-09T14:23:07.385479
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,597,True,1.23,,2025-10-09T14:23:08.613754
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Scheil_1909_RT31_nouvelles.pdf,1,True,19.64,,2025-10-09T14:23:28.254501
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KUB 6.pdf,29,True,13.31,,2025-10-09T14:23:41.561959
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel C.- Old Assyrian Bibliography (OAAS 1 -PIHANS 97, 2003) (OCR).pdf",86,True,0.63,,2025-10-09T14:23:42.197092
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Hirsch_1972_Or41_zum_altassyrischen.pdf,17,True,21.82,,2025-10-09T14:24:04.021348
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kanış Karumu Ib Kati. Seals and Seal Impressions of Lebel Ib from Karum Kanish. TTKY V 25, 1968.pdf",100,True,11.18,,2025-10-09T14:24:15.205974
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (1).pdf,1962,True,16.49,,2025-10-09T14:24:31.693706
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak_2002_ArAn5_listesi.pdf,4,True,0.48,,2025-10-09T14:24:32.170483
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Walthers KUB 14.pdf,39,True,13.95,,2025-10-09T14:24:46.117156
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (1).pdf,883,True,14.36,,2025-10-09T14:25:00.480471
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Polanyi_Trade_Market.pdf,29,True,15.21,,2025-10-09T14:25:15.691507
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Porter, Barbara A. - Old Syrian Popular Style Cylinder Seals. Diss Columbia 2001.pdf",1065,True,12.03,,2025-10-09T14:25:27.720297
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KUB 19.pdf,49,True,14.07,,2025-10-09T14:25:41.788036
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\TCL 4, 1919.pdf",30,True,11.41,,2025-10-09T14:25:53.194244
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Olmstead_1942_JNES1_Aramaic_Gospel.pdf,10,True,9.39,,2025-10-09T14:26:02.581394
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Kouwenberg_2017_GOA_HdO118.pdf,452,True,0.36,,2025-10-09T14:26:02.939647
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel, Cécile - Innāya dans les Tablettes Paléo-Assyriennes II, Edition des Textes. ERC 2, 1991.pdf",20,True,11.18,,2025-10-09T14:26:14.116161
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,1728,True,0.92,,2025-10-09T14:26:15.036658
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\HT.pdf,27,True,12.86,,2025-10-09T14:26:27.898229
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,338,True,0.78,,2025-10-09T14:26:28.679784
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Abbreviations for AfO.pdf,46,True,0.50,,2025-10-09T14:26:29.184148
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Veenhof, Klaas R. - The Old Assyrian Hamuštum Period. A Seven-Day Week. JEOL 34 1995-1996, pp. 4-41(cut).pdf",27,True,0.06,,2025-10-09T14:26:29.243428
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tashin - Kültepe-Kaniš. The Palaces and Temples of Kültepe-Kaniš. TTKY V 46, 1999(cut).pdf",179,True,12.69,,2025-10-09T14:26:41.935658
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",342,True,0.44,,2025-10-09T14:26:42.381293
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Orlin, Louis L. - Assyrian Colonies in Cappadocia (ACC). SAH 1, 1970(cut).pdf",92,True,11.07,,2025-10-09T14:26:53.453163
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Bar-am_1935_Studies of business letters.pdf,26,True,0.61,,2025-10-09T14:26:54.062868
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 45, 1995.pdf",184,True,0.66,,2025-10-09T14:26:54.723898
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tahsın - Kültepe Kazisi Raporu 1948. Ausgrabungen in Kültepe. TTKY V 10, 1950(cut).pdf",313,True,11.80,,2025-10-09T14:27:06.527436
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tashin - Kültepe-Kaniš. The Palaces and Temples of Kültepe-Kaniš. TTKY V 46, 1999(cut).pdf",10,True,12.50,,2025-10-09T14:27:19.031428
