pdf_id,page,akk_block_id,akk_text,akk_bbox,akk_column,trans_block_id,trans_text,trans_lang,trans_bbox,trans_column,score,distance_px,same_column,has_marker,reading_order_ok
NABU (missing 1999 no.2) (1),883,p883_c2_b2_f0,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân","689,389,1103,2844",2,p883_c2_b2_f1,NOMS DE PERSONNES,tr,"689,389,1103,2844",2,0.9000000000000001,0.0,True,False,True
NABU (missing 1999 no.2) (1),883,p883_c2_b2_f0,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân","689,389,1103,2844",2,p883_c2_b2_f2,"A+A-na-dEN
A-dar-ri-ia
A-ga-ba-te
dAGi -a-a-ta
Ah-ú-hu-ú (= Xerxès)
Ah-zi-iá-a-u
Apil-ili",en,"689,389,1103,2844",2,0.9000000000000001,0.0,True,False,True
NABU (missing 1999 no.2) (1),883,p883_c2_b2_f0,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân","689,389,1103,2844",2,p883_c3_b3_f0,"8
8
6
9
9
10
8
5
3
10
8
8
4
11
3
10
8
3
3
3
3
9
2
3
3
5
64, 9
1
7
8
5
8
19
86
19
47
6
6
6
6
35
3
115",en,"1136,403,1230,2864",3,0.47281474013315766,511.0638414131839,False,False,True
